,id,customer_id,country_id,tbl_loan_id,lender_id,loan_type,loan_risk,total_amount,total_amount_to_repay,duration,interest_rate,interest_rate_bin,daily_loan_margin,margin_category,disbursement_date,month_disbursement,due_date,month_due,new_versus_repeat,target
0,ID_266671248032267278,266671,Kenya,248032,267278,Type_1,Low Risk,8448.0,8448.0,7,0.0,Negative/Zero,0.0,Zero,2022-08-30,8,2022-09-06,9,Repeat Loan,0
1,ID_248919228515267278,248919,Kenya,228515,267278,Type_1,Low Risk,25895.0,25979.0,7,16.914462251399883,Low,12.0,Moderate,2022-07-30,7,2022-08-06,8,Repeat Loan,0
2,ID_308486370501251804,308486,Kenya,370501,251804,Type_7,High Risk,6900.0,7142.0,7,182.87784679089026,High,34.57142857142857,Large,2024-09-06,9,2024-09-13,9,Repeat Loan,0
3,ID_266004285009267278,266004,Kenya,285009,267278,Type_1,Low Risk,8958.0,9233.0,7,160.0724013651006,High,39.285714285714285,Large,2022-10-20,10,2022-10-27,10,Repeat Loan,0
4,ID_253803305312267278,253803,Kenya,305312,267278,Type_1,Low Risk,4564.0,4728.0,7,187.36697132840865,High,23.428571428571427,Moderate,2022-11-28,11,2022-12-05,12,Repeat Loan,0
5,ID_265607284433267278,265607,Kenya,284433,267278,Type_1,Low Risk,4325.0,4325.0,7,0.0,Negative/Zero,0.0,Zero,2022-10-19,10,2022-10-26,10,Repeat Loan,0
6,ID_261844305920267278,261844,Kenya,305920,267278,Type_1,Low Risk,6735.0,6735.0,7,0.0,Negative/Zero,0.0,Zero,2022-11-29,11,2022-12-06,12,Repeat Loan,0
7,ID_265488287698267278,265488,Kenya,287698,267278,Type_1,Low Risk,1540.0,1562.0,7,74.48979591836734,Medium,3.142857142857143,Small,2022-10-25,10,2022-11-01,11,Repeat Loan,0
8,ID_268010279432267278,268010,Kenya,279432,267278,Type_1,Low Risk,21496.0,21994.0,7,120.7998830347174,Medium,71.14285714285714,Large,2022-10-11,10,2022-10-18,10,Repeat Loan,0
9,ID_245399236898267278,245399,Kenya,236898,267278,Type_1,Low Risk,18852.0,18852.0,7,0.0,Negative/Zero,0.0,Zero,2022-08-15,8,2022-08-22,8,Repeat Loan,0
10,ID_253607237639267278,253607,Kenya,237639,267278,Type_1,Low Risk,4059.0,4206.0,7,188.83961566888397,High,21.0,Moderate,2022-08-16,8,2022-08-23,8,Repeat Loan,0
11,ID_264826243416267278,264826,Kenya,243416,267278,Type_1,Low Risk,12598.0,12598.0,7,0.0,Negative/Zero,0.0,Zero,2022-08-24,8,2022-08-31,8,Repeat Loan,0
12,ID_257317300197267278,257317,Kenya,300197,267278,Type_1,Low Risk,7048.0,7048.0,7,0.0,Negative/Zero,0.0,Zero,2022-11-17,11,2022-11-24,11,Repeat Loan,0
13,ID_263147273208267278,263147,Kenya,273208,267278,Type_1,Low Risk,6121.0,6309.0,7,160.15123579247089,High,26.857142857142858,Large,2022-10-03,10,2022-10-10,10,Repeat Loan,0
14,ID_253041287923267278,253041,Kenya,287923,267278,Type_1,Low Risk,1600.0,1600.0,7,0.0,Negative/Zero,0.0,Zero,2022-10-25,10,2022-11-01,11,Repeat Loan,0
15,ID_257604265483267278,257604,Kenya,265483,267278,Type_1,Low Risk,11698.0,11698.0,7,0.0,Negative/Zero,0.0,Zero,2022-09-22,9,2022-09-29,9,Repeat Loan,0
16,ID_244946261098251804,244946,Kenya,261098,251804,Type_5,High Risk,16000.0,16900.0,14,146.6517857142857,High,64.28571428571429,Large,2022-09-17,9,2022-10-01,10,Repeat Loan,0
17,ID_247107201246267278,247107,Kenya,201246,267278,Type_5,High Risk,14000.0,14800.0,14,148.9795918367347,High,57.142857142857146,Large,2022-06-27,6,2022-07-11,7,Repeat Loan,0
18,ID_254585246721267278,254585,Kenya,246721,267278,Type_1,Low Risk,4799.0,4872.0,7,79.31711963801982,Medium,10.428571428571429,Moderate,2022-08-29,8,2022-09-05,9,Repeat Loan,0
19,ID_256272266304267278,256272,Kenya,266304,267278,Type_1,Low Risk,480.0,480.0,7,0.0,Negative/Zero,0.0,Zero,2022-09-23,9,2022-09-30,9,Repeat Loan,0
20,ID_254787269376267278,254787,Kenya,269376,267278,Type_1,Low Risk,6797.0,6874.0,7,59.07017801971458,Medium,11.0,Moderate,2022-09-28,9,2022-10-05,10,Repeat Loan,0
21,ID_253368287591267278,253368,Kenya,287591,267278,Type_1,Low Risk,1649.0,1649.0,7,0.0,Negative/Zero,0.0,Zero,2022-10-24,10,2022-10-31,10,Repeat Loan,0
22,ID_258888243016267278,258888,Kenya,243016,267278,Type_1,Low Risk,19148.0,19723.0,7,156.58106777283714,High,82.14285714285714,Large,2022-08-23,8,2022-08-30,8,Repeat Loan,0
23,ID_259729304531267278,259729,Kenya,304531,267278,Type_1,Low Risk,38990.0,38990.0,7,0.0,Negative/Zero,0.0,Zero,2022-11-26,11,2022-12-03,12,Repeat Loan,0
24,ID_246812279602267278,246812,Kenya,279602,267278,Type_1,Low Risk,2509.0,2527.0,7,37.40818766725502,Low,2.5714285714285716,Small,2022-10-11,10,2022-10-18,10,Repeat Loan,0
25,ID_308408369553251804,308408,Kenya,369553,251804,Type_7,High Risk,28000.0,29166.0,7,217.1377551020408,High,166.57142857142858,Large,2024-08-24,8,2024-08-31,8,Repeat Loan,0
26,ID_261462257213267278,261462,Kenya,257213,267278,Type_1,Low Risk,795.0,807.0,7,78.70619946091644,Medium,1.7142857142857142,Small,2022-09-12,9,2022-09-19,9,Repeat Loan,0
27,ID_272197296110267278,272197,Kenya,296110,267278,Type_1,Low Risk,1500.0,1650.0,7,521.4285714285713,High,21.428571428571427,Moderate,2022-11-09,11,2022-11-16,11,Repeat Loan,0
28,ID_253803246918267278,253803,Kenya,246918,267278,Type_1,Low Risk,2687.0,2687.0,7,0.0,Negative/Zero,0.0,Zero,2022-08-29,8,2022-09-05,9,Repeat Loan,0
29,ID_248651296214267278,248651,Kenya,296214,267278,Type_1,Low Risk,2897.0,2995.0,7,176.38936831204694,High,14.0,Moderate,2022-11-09,11,2022-11-16,11,Repeat Loan,0
30,ID_270665276340267278,270665,Kenya,276340,267278,Type_1,Low Risk,4259.0,4351.0,7,112.63542749807132,Medium,13.142857142857142,Moderate,2022-10-06,10,2022-10-13,10,Repeat Loan,0
31,ID_247850281555267278,247850,Kenya,281555,267278,Type_1,Low Risk,67588.0,67588.0,7,0.0,Negative/Zero,0.0,Zero,2022-10-14,10,2022-10-21,10,Repeat Loan,0
32,ID_254380253707267278,254380,Kenya,253707,267278,Type_1,Low Risk,2394.0,2394.0,7,0.0,Negative/Zero,0.0,Zero,2022-09-07,9,2022-09-14,9,Repeat Loan,0
33,ID_267429303710267278,267429,Kenya,303710,267278,Type_1,Low Risk,1503.0,1558.0,7,190.80885847352914,High,7.857142857142857,Moderate,2022-11-24,11,2022-12-01,12,Repeat Loan,0
34,ID_89794270816267278,89794,Kenya,270816,267278,Type_1,Low Risk,3565.0,3589.0,7,35.10318573432178,Low,3.4285714285714284,Small,2022-09-29,9,2022-10-06,10,Repeat Loan,0
