,id,loan_type,total_amount,total_amount_to_repay,interest_rate,duration,lender_portion_to_be_repaid,daily_loan_cost,new_versus_repeat,due_month,daily_payment_ratio,risk_score,target
0,ID_266671248032267278,Type_1,8448.0,8448.0,0.0,7,121.0,0.0,Repeat Loan,9,1206.857142857143,0.0,0
1,ID_248919228515267278,Type_1,25895.0,25979.0,16.914462251399883,7,7794.0,12.0,Repeat Loan,8,3711.285714285714,8.054195806831585,0
2,ID_308486370501251804,Type_7,6900.0,7142.0,182.87784679089026,7,1428.0,34.57142857142857,Repeat Loan,9,1020.2857142857143,130.66362362750482,0
3,ID_266004285009267278,Type_1,8958.0,9233.0,160.0724013651006,7,2770.0,39.285714285714285,Repeat Loan,10,1319.0,76.22220122764178,0
4,ID_253803305312267278,Type_1,4564.0,4728.0,187.36697132840865,7,1418.0,23.428571428571427,Repeat Loan,12,675.4285714285714,89.24753580905865,0
5,ID_265607284433267278,Type_1,4325.0,4325.0,0.0,7,1298.0,0.0,Repeat Loan,10,617.8571428571429,0.0,0
6,ID_261844305920267278,Type_1,6735.0,6735.0,0.0,7,2021.0,0.0,Repeat Loan,12,962.1428571428571,0.0,0
7,ID_265488287698267278,Type_1,1540.0,1562.0,74.48979591836734,7,469.0,3.142857142857143,Repeat Loan,11,223.14285714285714,35.441078655038005,0
8,ID_268010279432267278,Type_1,21496.0,21994.0,120.7998830347174,7,0.0,71.14285714285714,Repeat Loan,10,3142.0,0.0,0
9,ID_245399236898267278,Type_1,18852.0,18852.0,0.0,7,5656.0,0.0,Repeat Loan,8,2693.1428571428573,0.0,0
10,ID_253607237639267278,Type_1,4059.0,4206.0,188.83961566888397,7,1262.0,21.0,Repeat Loan,8,600.8571428571429,89.90937553807176,0
11,ID_264826243416267278,Type_1,12598.0,12598.0,0.0,7,3779.0,0.0,Repeat Loan,8,1799.7142857142858,0.0,0
12,ID_257317300197267278,Type_1,7048.0,7048.0,0.0,7,2114.0,0.0,Repeat Loan,11,1006.8571428571429,0.0,0
13,ID_263147273208267278,Type_1,6121.0,6309.0,160.15123579247089,7,17.0,26.857142857142858,Repeat Loan,10,901.2857142857143,8490.707114409233,0
14,ID_253041287923267278,Type_1,1600.0,1600.0,0.0,7,0.0,0.0,Repeat Loan,11,228.57142857142858,0.0,0
15,ID_257604265483267278,Type_1,11698.0,11698.0,0.0,7,3509.0,0.0,Repeat Loan,9,1671.142857142857,0.0,0
16,ID_244946261098251804,Type_5,16000.0,16900.0,146.6517857142857,14,2704.0,64.28571428571429,Repeat Loan,10,1207.142857142857,65.46954719387755,0
17,ID_247107201246267278,Type_5,14000.0,14800.0,148.9795918367347,14,2368.0,57.142857142857146,Repeat Loan,7,1057.142857142857,66.50874635568513,0
18,ID_254585246721267278,Type_1,4799.0,4872.0,79.31711963801982,7,1462.0,10.428571428571429,Repeat Loan,9,696.0,37.75972316556894,0
19,ID_256272266304267278,Type_1,480.0,480.0,0.0,7,144.0,0.0,Repeat Loan,9,68.57142857142857,0.0,0
20,ID_254787269376267278,Type_1,6797.0,6874.0,59.07017801971458,7,2062.0,11.0,Repeat Loan,10,982.0,28.131384488535264,0
21,ID_253368287591267278,Type_1,1649.0,1649.0,0.0,7,0.0,0.0,Repeat Loan,10,235.57142857142858,0.0,0
22,ID_258888243016267278,Type_1,19148.0,19723.0,156.58106777283714,7,5917.0,82.14285714285714,Repeat Loan,8,2817.5714285714284,74.56115308635329,0
23,ID_259729304531267278,Type_1,38990.0,38990.0,0.0,7,1857.0,0.0,Repeat Loan,12,5570.0,0.0,0
24,ID_246812279602267278,Type_1,2509.0,2527.0,37.40818766725502,7,758.0,2.5714285714285716,Repeat Loan,10,361.0,17.815772754457868,0
25,ID_308408369553251804,Type_7,28000.0,29166.0,217.1377551020408,7,5833.0,166.57142857142858,Repeat Loan,8,4166.571428571428,155.10371446464995,0
26,ID_261462257213267278,Type_1,795.0,807.0,78.70619946091644,7,242.0,1.7142857142857142,Repeat Loan,9,115.28571428571429,37.49462984944484,0
27,ID_272197296110267278,Type_1,1500.0,1650.0,521.4285714285713,7,495.0,21.428571428571427,Repeat Loan,11,235.71428571428572,248.29931972789112,0
28,ID_253803246918267278,Type_1,2687.0,2687.0,0.0,7,0.0,0.0,Repeat Loan,9,383.85714285714283,0.0,0
29,ID_248651296214267278,Type_1,2897.0,2995.0,176.38936831204694,7,899.0,14.0,Repeat Loan,11,427.85714285714283,83.94822153099962,0
30,ID_270665276340267278,Type_1,4259.0,4351.0,112.63542749807132,7,1305.0,13.142857142857142,Repeat Loan,10,621.5714285714286,53.64824795228334,0
31,ID_247850281555267278,Type_1,67588.0,67588.0,0.0,7,0.0,0.0,Repeat Loan,10,9655.42857142857,0.0,0
32,ID_254380253707267278,Type_1,2394.0,2394.0,0.0,7,718.0,0.0,Repeat Loan,9,342.0,0.0,0
33,ID_267429303710267278,Type_1,1503.0,1558.0,190.80885847352914,7,407.0,7.857142857142857,Repeat Loan,12,222.57142857142858,104.34545507257228,0
34,ID_89794270816267278,Type_1,3565.0,3589.0,35.10318573432178,7,1077.0,3.4285714285714284,Repeat Loan,10,512.7142857142857,16.71114651816963,0
35,ID_266298290825267278,Type_1,2188.0,2188.0,0.0,7,0.0,0.0,Repeat Loan,11,312.57142857142856,0.0,0
36,ID_238716357554267278,Type_4,30000.0,33600.0,73.0,60,1568.0,60.0,Repeat Loan,10,560.0,26.071428571428573,0
37,ID_244471270752267278,Type_1,8757.0,8757.0,0.0,7,593.0,0.0,Repeat Loan,10,1251.0,0.0,0
38,ID_244541299976267278,Type_1,6269.0,6336.0,55.727730556251856,7,0.0,9.571428571428571,Repeat Loan,11,905.1428571428571,0.0,0
39,ID_241552271459267278,Type_1,6753.0,6829.0,58.682913414143975,7,0.0,10.857142857142858,Repeat Loan,10,975.5714285714286,0.0,0
40,ID_240938270158267278,Type_1,4738.0,4845.0,117.75613580172465,7,1454.0,15.285714285714286,Repeat Loan,10,692.1428571428571,56.055067592784035,0
41,ID_269503231860267278,Type_1,3869.0,3869.0,0.0,7,1161.0,0.0,Repeat Loan,8,552.7142857142857,0.0,0
42,ID_268407277959267278,Type_1,6178.0,6254.0,64.1446607778754,7,0.0,10.857142857142858,Repeat Loan,10,893.4285714285714,0.0,0
43,ID_245095216578267278,Type_1,4350.0,4350.0,0.0,7,1305.0,0.0,Repeat Loan,7,621.4285714285714,0.0,0
44,ID_264504294063267278,Type_1,2391.0,2391.0,0.0,7,722.0,0.0,Repeat Loan,11,341.57142857142856,0.0,0
45,ID_268176283274267278,Type_1,19334.0,19927.0,159.92921426354755,7,5978.0,84.71428571428571,Repeat Loan,10,2846.714285714286,76.15804264755799,0
46,ID_261645288907267278,Type_1,5663.0,5732.0,63.5327060366792,7,1720.0,9.857142857142858,Repeat Loan,11,818.8571428571429,30.24663380417319,0
47,ID_261462257212267278,Type_1,9616.0,9733.0,63.443368195864025,7,2920.0,16.714285714285715,Repeat Loan,9,1390.4285714285713,30.210093084654822,0
48,ID_261446260037267278,Type_1,16154.0,16647.0,159.1335184562868,7,4994.0,70.42857142857143,Repeat Loan,9,2378.1428571428573,75.77938330973758,0
49,ID_263376224636267278,Type_1,10484.0,10484.0,0.0,7,3145.0,0.0,Repeat Loan,8,1497.7142857142858,0.0,0
50,ID_252651272270267278,Type_1,23442.0,23442.0,0.0,7,22.0,0.0,Repeat Loan,10,3348.8571428571427,0.0,0
